-152.0,230.0
-152.0,228.0
-152.0,227.0
-152.0,225.0
-152.0,224.0
-152.0,222.0
-152.0,221.0
-152.0,216.0
-152.0,215.0
-152.0,207.0
-152.0,206.0
-152.0,204.0
-153.0,195.0
-153.0,194.0
-153.0,192.0
-155.0,182.0
-156.0,180.0
-156.0,179.0
-158.0,164.0
-159.0,147.0
-161.0,146.0
-161.0,144.0
-161.0,143.0
-161.0,141.0
-161.0,140.0
-161.0,138.0
-161.0,137.0
-161.0,135.0
-161.0,134.0
-161.0,132.0
-161.0,131.0
-162.0,129.0
-162.0,128.0
-162.0,126.0
-162.0,125.0
-162.0,123.0
-162.0,122.0
-162.0,120.0
-162.0,119.0
-162.0,117.0
-162.0,116.0
-162.0,114.0
-162.0,113.0
-162.0,111.0
-162.0,110.0
-162.0,108.0
-162.0,107.0
-162.0,105.0
-162.0,104.0
-162.0,102.0
-162.0,101.0
-164.0,99.0
-164.0,98.0
-164.0,96.0
-164.0,95.0
-164.0,93.0
-164.0,92.0
-164.0,90.0
-164.0,87.0
-164.0,86.0
-164.0,84.0
-164.0,83.0
-164.0,81.0
-164.0,80.0
-164.0,78.0
-164.0,77.0
-164.0,75.0
-164.0,74.0
-164.0,72.0
-163.0,72.0
-161.0,72.0
-160.0,72.0
-158.0,72.0
-157.0,72.0
-157.0,71.0
-155.0,71.0
-151.0,71.0
-149.0,71.0
-148.0,71.0
-142.0,71.0
-140.0,71.0
-139.0,71.0
-139.0,69.0
-130.0,69.0
-128.0,69.0
-127.0,69.0
-125.0,69.0
-119.0,69.0
-118.0,69.0
-116.0,69.0
-116.0,68.0
-115.0,68.0
-107.0,68.0
-106.0,68.0
-104.0,68.0
-95.0,68.0
-94.0,68.0
-86.0,68.0
-85.0,68.0
-80.0,66.0
-79.0,66.0
-76.0,66.0
-74.0,66.0
-73.0,66.0
-73.0,67.0
-73.0,69.0
-73.0,70.0
-73.0,72.0
-73.0,73.0
-73.0,75.0
-73.0,76.0
-73.0,78.0
-73.0,79.0
-73.0,81.0
-73.0,82.0
-71.0,82.0
-71.0,84.0
-71.0,91.0
-71.0,93.0
-71.0,94.0
-71.0,96.0
-71.0,97.0
-71.0,99.0
-71.0,100.0
-70.0,111.0
-70.0,112.0
-70.0,114.0
-70.0,115.0
-70.0,117.0
-70.0,118.0
-70.0,120.0
-68.0,132.0
-67.0,132.0
-67.0,133.0
-67.0,135.0
-67.0,136.0
-65.0,145.0
-65.0,147.0
-65.0,148.0
-65.0,150.0
-64.0,156.0
-64.0,157.0
-62.0,159.0
-62.0,160.0
-62.0,166.0
-62.0,168.0
-62.0,169.0
-61.0,177.0
-61.0,178.0
-61.0,186.0
-61.0,187.0
-61.0,193.0
-61.0,195.0
-61.0,199.0
-61.0,202.0
-59.0,202.0
-58.0,202.0
-56.0,202.0
-55.0,202.0
-53.0,202.0
-47.0,202.0
-46.0,202.0
-37.0,202.0
-26.0,202.0
-25.0,202.0
-14.0,202.0
-13.0,202.0
-5.0,202.0
1.0,202.0
2.0,202.0
4.0,202.0
5.0,202.0
7.0,202.0
8.0,202.0
10.0,202.0
11.0,202.0
13.0,202.0
14.0,202.0
14.0,201.0
14.0,200.0
14.0,198.0
14.0,197.0
14.0,195.0
